index_row,Hospital_ID,Spezialisierung,value
0,ID1,Aufgestellte_Betten_insgesamt,400
1,ID2,Aufgestellte_Betten_insgesamt,87
6,ID7,Aufgestellte_Betten_insgesamt,6
7,ID8,Aufgestellte_Betten_insgesamt,336
8,ID9,Aufgestellte_Betten_insgesamt,23
11,ID12,Aufgestellte_Betten_insgesamt,60
12,ID13,Aufgestellte_Betten_insgesamt,30
13,ID14,Aufgestellte_Betten_insgesamt,2
14,ID15,Aufgestellte_Betten_insgesamt,1
15,ID16,Aufgestellte_Betten_insgesamt,199
16,ID17,Aufgestellte_Betten_insgesamt,68
17,ID18,Aufgestellte_Betten_insgesamt,18
18,ID19,Aufgestellte_Betten_insgesamt,46
20,ID21,Aufgestellte_Betten_insgesamt,82
21,ID22,Aufgestellte_Betten_insgesamt,608
22,ID23,Aufgestellte_Betten_insgesamt,1072
24,ID25,Aufgestellte_Betten_insgesamt,193
25,ID26,Aufgestellte_Betten_insgesamt,72
26,ID27,Aufgestellte_Betten_insgesamt,26
27,ID28,Aufgestellte_Betten_insgesamt,2
28,ID29,Aufgestellte_Betten_insgesamt,3
29,ID30,Aufgestellte_Betten_insgesamt,3
30,ID31,Aufgestellte_Betten_insgesamt,51
31,ID32,Aufgestellte_Betten_insgesamt,81
32,ID33,Aufgestellte_Betten_insgesamt,113
34,ID35,Aufgestellte_Betten_insgesamt,400
35,ID36,Aufgestellte_Betten_insgesamt,27
37,ID38,Aufgestellte_Betten_insgesamt,1027
38,ID39,Aufgestellte_Betten_insgesamt,47
39,ID40,Aufgestellte_Betten_insgesamt,127
40,ID41,Aufgestellte_Betten_insgesamt,33
41,ID42,Aufgestellte_Betten_insgesamt,641
42,ID43,Aufgestellte_Betten_insgesamt,3
44,ID45,Aufgestellte_Betten_insgesamt,112
46,ID47,Aufgestellte_Betten_insgesamt,1
47,ID48,Aufgestellte_Betten_insgesamt,619
49,ID50,Aufgestellte_Betten_insgesamt,67
50,ID51,Aufgestellte_Betten_insgesamt,187
51,ID52,Aufgestellte_Betten_insgesamt,70
54,ID55,Aufgestellte_Betten_insgesamt,167
55,ID56,Aufgestellte_Betten_insgesamt,75
57,ID58,Aufgestellte_Betten_insgesamt,110
61,ID62,Aufgestellte_Betten_insgesamt,21
62,ID63,Aufgestellte_Betten_insgesamt,284
64,ID65,Aufgestellte_Betten_insgesamt,125
65,ID66,Aufgestellte_Betten_insgesamt,19
66,ID67,Aufgestellte_Betten_insgesamt,109
67,ID68,Aufgestellte_Betten_insgesamt,95
68,ID69,Aufgestellte_Betten_insgesamt,6
70,ID71,Aufgestellte_Betten_insgesamt,197
71,ID72,Aufgestellte_Betten_insgesamt,102
73,ID74,Aufgestellte_Betten_insgesamt,197
74,ID75,Aufgestellte_Betten_insgesamt,51
75,ID76,Aufgestellte_Betten_insgesamt,126
76,ID77,Aufgestellte_Betten_insgesamt,162
77,ID78,Aufgestellte_Betten_insgesamt,36
78,ID79,Aufgestellte_Betten_insgesamt,366
79,ID80,Aufgestellte_Betten_insgesamt,73
81,ID82,Aufgestellte_Betten_insgesamt,23
83,ID84,Aufgestellte_Betten_insgesamt,151
84,ID85,Aufgestellte_Betten_insgesamt,100
85,ID86,Aufgestellte_Betten_insgesamt,28
86,ID87,Aufgestellte_Betten_insgesamt,37
