Hospital_ID;Land;Kreis;Gemeinde;Adresse_Name;Adresse_Name_Standort;Adresse_Strasse_Standort;Adresse_Haus-Nr._Standort;Adresse_Postleitzahl_Standort;Adresse_Ort_Standort;Telefonvorwahl/-nummer;E-Mail Adresse;Internet-Adresse;Traeger;T_Name;EinrichtungsTyp;Allgemeine_Notfallversorgung;Spezielle_Notfallversorgung;Spezielle_Notfallversorgung;Spezielle_Notfallversorgung;Spezielle_Notfallversorgung;Spezielle_Notfallversorgung
ID1;01;001;000;DIAKO Krankenhaus gGmbH;DIAKO Krankenhaus gGmbH;Knuthstraße;1;24939;Flensburg;0461 812-2026;wangerkar@diako.de;www.diako-krankenhaus.de/;2;DIAKO Krankenhaus gGmbH;2;2;1;1;2;1;2
ID2;01;001;000;DIAKO Nordfriesland gGmbH - DIAKO Fachklinik für Psychiatrie, Psychosomatik und Psychotherapie Flensburg;DIAKO Fachklinik für Psychiatrie, Psychosomatik, Psychotherapie;Knuthstraße;1;24939;Flensburg;04671 408114-0;wangerkar@diako.de;www.diako-nf.de;2;DIAKO Nordfriesland gGmbH;2;0;2;2;2;2;2
ID3;01;001;000;DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg;DIAKO Tagesklinik für Ältere Flensburg;Marienhölzungsweg;8;24939;Flensburg;;wienerbu@diako.de;www.diako-krankenhaus.de/kliniken-und-zentren/kliniken/;2;DIAKO Nordfriesland gGmbH;3;0;2;2;2;2;2
ID4;01;001;000;DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg;DIAKO Tagesklinik für Erwachsene Flensburg;Marienhölzungsweg;21;24939;Flensburg;;wienerbu@diako.de;www.diako-krankenhaus.de/kliniken-und-zentren/kliniken/;2;DIAKO Nordfriesland gGmbH;3;0;2;2;2;2;2
ID5;01;001;000;DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg;DIAKO Tagesklinik für KJP (Villa Paletti);Marienhölzungsweg;68;24939;Flensburg;;wienerbu@diako.de;www.diako-krankenhaus.de/kliniken-und-zentren/kliniken/;2;DIAKO Nordfriesland gGmbH;3;0;2;2;2;2;2
ID6;01;001;000;DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg;DIAKO Tagesklinik für Psychosomatik Flensburg;Nerongsallee;5;24939;Flensburg;;wienerbu@diako.de;www.diako-krankenhaus.de/kliniken-und-zentren/kliniken/;2;DIAKO Nordfriesland gGmbH;3;0;2;2;2;2;2
ID7;01;001;000;Katharinen Hospiz am Park;Katharinen Hospiz am Park;Mühlenstraße;1;24937;Flensburg;;thomas.schwedhelm@katharinen-hospiz.de;www.katharinen-hospiz.de/;2;Katharinen Hospiz am Park gGmbH;2;0;2;2;2;2;2
ID8;01;001;000;Malteser Krankenhaus St. Franziskus-Hospital;Malteser Krankenhaus St. Franziskus-Hospital;Waldstraße;17;24939;Flensburg;0461 8162507;Ralf.Wichert@malteser.org;www.malteser-franziskus.de/flensburg.html;2;Malteser Norddeutschland gGmbH;2;1;2;2;2;2;2
ID9;01;002;000;AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz;AMEOS Klinikum Kiel;Tiroler Ring;621;24147;Kiel;;lgah.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/heiligenhafen/;3;AMEOS Krankenhausgesellschaft Holstein mbH;2;0;2;2;2;2;2
ID10;01;002;000;DermaKiel - Tagesklinik für Allergie und Hautkrankheiten;DermaKiel - Tagesklinik für Allergie und Hautkrankheiten;Schönberger Straße;72-74;24148;Kiel;0431 7297202-0;dermakiel@gmx.de;www.dermakiel.de/;3;Medizinisches Versorgungszentrum DermaKiel GmbH;3;0;2;2;2;2;2
